,Sample_ID,sobs,Shannon,Simpson,Age,Strain,Genotype
79,X8_BKM_8860_1,224,3.819654896,0.056475644,8 Weeks,B6,KO
80,X8_BKM_8860_2,235,3.918068849,0.04405269,8 Weeks,B6,KO
81,X8_BWF_8754_1,198,3.401224182,0.090806212,8 Weeks,B6,WT
82,X8_BWF_8754_2,194,3.269120288,0.092082461,8 Weeks,B6,WT
83,X8_BWF_8755_1,183,3.234926812,0.107000498,8 Weeks,B6,WT
84,X8_BWF_8852_1,173,3.289260646,0.105669099,8 Weeks,B6,WT
85,X8_BWF_8852_2,175,3.154888192,0.118530413,8 Weeks,B6,WT
86,X8_BWM_8745_1,227,3.497600822,0.079934885,8 Weeks,B6,WT
87,X8_BWM_8745_2,223,3.698291364,0.06781936,8 Weeks,B6,WT
88,X8_BWM_8747_1,190,3.142313196,0.121171871,8 Weeks,B6,WT
89,X8_BWM_8747_2,218,3.430723529,0.086559984,8 Weeks,B6,WT
90,X8_BWM_8847_1,109,3.036661732,0.08790848,8 Weeks,B6,WT
91,X8_BWM_8847_2,117,3.094640211,0.090025429,8 Weeks,B6,WT
