"","Species","mean"
"127","Tannerella_unclassified",0.00142786339823672
"128","Celeribacter_unclassified",0.0014277389256532
"129","Lactobacillus_unclassified",0.00142028818064275
"130","Eubacterium_plexicaudatum",0.00141790843288441
"131","Streptococcus_sanguinis",0.00141516816358394
"132","Catenibacterium_unclassified",0.00141499095735266
"133","Desulfosporosinus_unclassified",0.00141452413438882
"134","Erythrobacter_unclassified",0.00141077095382152
"135","Millionella_unclassified",0.00140917632085487
"136","Lactobacillus_johnsonii",0.00140668688730728
"137","Alistipes_putredinis",0.00140584092911736
"138","Alistipes_unclassified",0.00140418489167661
"139","Alloprevotella_unclassified",0.00140107229770616
"140","Coriobacteriia_unclassified",0.00139947000075803
"141","Variovorax_unclassified",0.00139937530809729
"142","Prevotella_jejuni",0.00139675108086299
"143","Xylophilus_unclassified",0.00139535823570387
"144","Enterorhabdus_unclassified",0.00139456612880809
"145","Bacteroidetes_unclassified",0.00138855206989413
"146","Prevotella_unclassified",0.0013877644501978
"147","Salmonella_unclassified",0.00138617985070957
"148","Sutterella_unclassified",0.00138221399319154
"149","Desulfitobacterium_unclassified",0.00137980756363569
"150","Syntrophothermus_unclassified",0.00137956266064779
"151","Acetivibrio_unclassified",0.00137879661046612
"152","Bacteroides_sp._A1C1",0.00137855901142381
"153","Prevotellaceae_unclassified",0.00137654251735918
"154","Parabacteroides_distasonis",0.0013729376247039
"155","Rhodoferax_unclassified",0.00137283583734165
"156","Hymenobacteraceae_unclassified",0.00137064890816018
"157","Senegalimassilia_unclassified",0.00136319358455738
"158","Anderseniella_unclassified",0.00136235480441402
"159","Parvibaculum_unclassified",0.00136235480441402
"160","Clostridioides_unclassified",0.0013616830537402
"161","Bizionia_unclassified",0.00135898989661569
"162","Advenella_unclassified",0.00135781144197639
"163","Desulfuromonadales_unclassified",0.00135781144197639
"164","Simplicispira_unclassified",0.00135781144197639
"165","Solitalea_unclassified",0.00135781144197639
"166","Bacteroides_cellulosilyticus",0.00135730464873419
"167","Candidatus_Arthromitus_sp._SFB-mouse",0.00135490948562549
"168","Alloprevotella_tannerae",0.00135468665011299
"169","Turicimonas_unclassified",0.00135333501538161
