taxon,20_AKF_8733_2,20_AKF_8738_1,20_AKF_8738_2,20_AKF_8802_1,20_AKF_8802_2,20_AKM_8768_1,20_AKM_8768_2,20_AKM_8769_1,20_AKM_8769_2,20_AKM_8771_1,20_AKM_8771_2,20_AWF_8736_1,20_AWF_8736_2,20_AWF_8797_1,20_AWF_8797_2,20_AWF_9005_1,20_AWF_9005_2,20_AWM_8728_1,20_AWM_8728_2,20_AWM_8730_1,20_AWM_8730_2,20_AWM_8766_1,20_AWM_8766_2,20_BKF_8726_1,20_BKF_8726_2,20_BKF_8926_1,20_BKF_8926_2,20_BKF_8927_1,20_BKF_8927_2,20_BKM_8719_1,20_BKM_8719_2,20_BKM_8859_1,20_BKM_8859_2,20_BKM_8860_1,20_BKM_8860_2,20_BWF_8754_1,20_BWF_8754_2,20_BWF_8755_1,20_BWF_8755_2,20_BWF_8852_1,20_BWF_8852_2,20_BWM_8745_1,20_BWM_8745_2,20_BWM_8747_1,20_BWM_8747_2,20_BWM_8847_1,20_BWM_8847_2,8_AKF_8733_1,8_AKF_8733_2,8_AKF_8738_1,8_AKF_8738_2,8_AKF_8802_1,8_AKM_8768_1,8_AKM_8768_2,8_AKM_8769_1,8_AKM_8769_2,8_AKM_8771_1,8_AKM_8771_2,8_AWF_8736_1,8_AWF_8736_2,8_AWF_8797_1,8_AWF_9005_1,8_AWF_9005_2,8_AWM_8728_1,8_AWM_8728_2,8_AWM_8730_1,8_AWM_8730_2,8_AWM_8766_1,8_AWM_8766_2,8_BKF_8726_1,8_BKF_8726_2,8_BKF_8926_1,8_BKF_8926_2,8_BKF_8927_1,8_BKM_8719_1,8_BKM_8719_2,8_BKM_8859_1,8_BKM_8859_2,8_BKM_8860_1,8_BKM_8860_2,8_BWF_8754_1,8_BWF_8754_2,8_BWF_8755_1,8_BWF_8852_1,8_BWF_8852_2,8_BWM_8745_1,8_BWM_8745_2,8_BWM_8747_1,8_BWM_8747_2,8_BWM_8847_1,8_BWM_8847_2
Prevotella_marshii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,4,5,1,4,3,3,4,0,4,2,3,4,0,2,3,4,3,2,2,3,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,2,7,11,4,3,2,0,0,0,2,2,1,3,2,3,1,2,3,1,1,0
Akkermansia_muciniphila,0,0,0,1,0,0,1,0,2,2,1,0,1,0,0,0,1,1,0,0,1,0,0,37,37,115,151,184,129,61,81,118,55,46,26,50,108,76,65,17,8,54,122,34,61,0,0,1,1,0,1,1,2,0,0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,117,128,95,104,127,45,65,23,0,158,384,191,109,78,124,73,38,74,330,351,83,209
Faecalibaculum_unclassified,0,0,0,18,10,0,0,0,0,0,0,1,1,1,1,0,0,3,3,12,5,0,0,40,26,11,21,35,48,89,70,32,19,107,11,62,66,48,108,57,68,124,29,14,29,71,27,0,0,18,4,2,0,0,4,5,2,1,7,79,1,1,0,2,2,4,6,55,5,45,20,36,11,24,81,56,29,1,135,96,51,44,20,16,18,127,59,50,44,0,1
Turicibacter_unclassified,1,0,0,1,0,1,0,0,0,0,0,1,0,3,1,2,4,5,5,7,5,13,7,193,173,193,90,168,216,36,97,124,102,52,26,81,73,59,108,81,107,15,15,153,60,12,22,24,55,31,56,24,9,12,3,2,3,1,21,18,3,1,0,2,7,1,1,0,3,63,84,84,165,34,62,98,8,0,17,53,45,82,87,9,17,33,37,10,9,1,0
Akkermansia_unclassified,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,3,16,16,14,9,3,7,11,3,1,1,1,3,8,10,1,0,2,11,2,7,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,2,9,15,7,8,2,0,15,33,9,7,5,5,2,5,7,20,15,1,12
