,Sample_ID,sobs,Shannon,Simpson,Age,Strain,Genotype
79,X8_BKM_8859_2,4,1.242453325,0.2,20 Weeks,B6,KO
80,X8_BKM_8860_1,8,1.315216847,0.304327571,20 Weeks,B6,KO
81,X8_BKM_8860_2,8,1.355775536,0.287978741,20 Weeks,B6,WT
82,X8_BWF_8754_1,9,1.291568404,0.35452803,20 Weeks,B6,WT
83,X8_BWF_8754_2,9,1.347741338,0.313089575,20 Weeks,B6,WT
84,X8_BWF_8755_1,9,1.037734183,0.473040911,20 Weeks,B6,WT
85,X8_BWF_8852_1,7,1.196207095,0.359055677,20 Weeks,B6,WT
86,X8_BWF_8852_2,7,1.035759533,0.416461883,20 Weeks,B6,WT
87,X8_BWM_8745_1,9,1.348607626,0.300032354,20 Weeks,B6,WT
88,X8_BWM_8745_2,9,1.406545101,0.28820905,20 Weeks,B6,WT
89,X8_BWM_8747_1,8,1.294452274,0.357663294,20 Weeks,B6,WT
90,X8_BWM_8747_2,7,1.248374055,0.375573346,20 Weeks,B6,WT
91,X8_BWM_8847_1,7,1.021519214,0.418076334,20 Weeks,B6,WT
92,X8_BWM_8847_2,6,1.107458908,0.420689417,20 Weeks,B6,WT
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,KO
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,20 Weeks,B6,WT
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,KO
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,AJ,WT
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,KO
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,8 Weeks,B6,WT
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,KO
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
,,,,,20 Weeks,AJ,WT
